,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
159,GREAT HAMMERHEAD,22/2/2016,Gold Coast,Currumbin Beach,-28°7.4,153°29.35,2.49,27,February,Monday
160,GREAT HAMMERHEAD,4/3/2016,Sunshine Coast North,Noosa,-26°22.69,153°5.58,2.13,24,March,Friday
161,GREAT HAMMERHEAD,5/4/2016,Gold Coast,Currumbin Beach,-28°7.4,153°29.35,2.85,26,April,Tuesday
162,GREAT HAMMERHEAD,7/4/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,2.85,24,April,Thursday
163,GREAT HAMMERHEAD,15/7/2016,Sunshine Coast North,Noosa,-26°22.69,153°5.58,1.25,23,July,Friday
164,GREAT HAMMERHEAD,16/7/2016,Townsville,Pallarenda Beach,-19°11.98,146°46.66,2.9,22,July,Saturday
165,GREAT HAMMERHEAD,19/7/2016,Townsville,Nelly Bay,-19°10.52,146°50.97,2.15,22,July,Tuesday
166,GREAT HAMMERHEAD,10/8/2016,Townsville,Florence Bay,-19°7.39,146°53.11,2.3,23,August,Wednesday
167,GREAT HAMMERHEAD,17/8/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,2.21,23,August,Wednesday
168,GREAT HAMMERHEAD,2/9/2016,Townsville,The Strand,-19°14.36,146°48.68,2.4,23,September,Friday
169,GREAT HAMMERHEAD,3/9/2016,Townsville,Nelly Bay,-19°10.25,146°51.1,2.5,24,September,Saturday
170,GREAT HAMMERHEAD,22/9/2016,Gold Coast,Coolangatta Beach,-28°9.31,153°32.16,1.5,20,September,Thursday
171,GREAT HAMMERHEAD,13/10/2016,Townsville,Horseshoe Bay,-19°6.8,146°50.79,3.1,27,October,Thursday
172,GREAT HAMMERHEAD,1/11/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.41,23,November,Tuesday
173,GREAT HAMMERHEAD,1/11/2016,Sunshine Coast South & Bribie Island,Alexandra Headland,-26°40.15,153°7.03,1.3,22,November,Tuesday
174,GREAT HAMMERHEAD,6/11/2016,Rainbow Beach,Rainbow Beach,-25°53.92,153°5.87,2.16,24,November,Sunday
175,GREAT HAMMERHEAD,27/11/2016,Gold Coast,Kurrawa Beach,-28°1.37,153°26.32,3.5,23,November,Sunday
176,GREAT HAMMERHEAD,28/11/2016,Gold Coast,Main Beach,-27°58.24,153°26.07,1.93,24,November,Monday
177,GREAT HAMMERHEAD,30/11/2016,Townsville,Radical Bay,-19°6.54,146°52.68,1.6,29,November,Wednesday
178,GREAT HAMMERHEAD,3/12/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,1.45,23,December,Saturday
179,GREAT HAMMERHEAD,8/12/2016,Sunshine Coast South & Bribie Island,Mooloolaba Beach,-26°40.64,153°7.4,1.55,24,December,Thursday
180,GREY NURSE SHARK,6/1/2016,Sunshine Coast North,Noosa,-26°22.69,153°5.58,2.3,25,January,Wednesday
181,HARDNOSE WHALER,7/5/2016,Capricorn Coast,Lammermoor Beach,-23°9.27,150°46.25,0.74,25,May,Saturday
182,HARDNOSE WHALER,19/11/2016,Cairns,Palm Cove,-16°44.74,145°40.53,0.8,27,November,Saturday
183,HARDNOSE WHALER,23/11/2016,Cairns,Ellis Beach,-16°43.3,145°39.01,0.75,27,November,Wednesday
184,HARDNOSE WHALER,24/11/2016,Capricorn Coast,Lammermoor Beach,-23°9.36,150°46.32,0.89,25,November,Thursday
185,HARDNOSE WHALER,25/11/2016,Capricorn Coast,Lammermoor Beach,-23°9.36,150°46.32,0.89,26,November,Friday
186,HARDNOSE WHALER,3/10/2016,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.1,23,October,Monday
187,LONG NOSE WHALER,2/1/2016,Sunshine Coast South & Bribie Island,Alexandra Headland,-26°39.96,153°6.86,1.65,24,January,Saturday
188,LONG NOSE WHALER,2/1/2016,Sunshine Coast South & Bribie Island,Alexandra Headland,-26°40.15,153°7.03,1.75,24,January,Saturday
189,LONG NOSE WHALER,3/1/2016,Sunshine Coast South & Bribie Island,Mooloolaba Beach,-26°40.64,153°7.4,2.72,24,January,Sunday
